size,files
0.0,98233383
1.0,151775268
2.0,115645176
3.0,76607696
4.0,53846787
5.0,40612523
6.0,32214147
7.0,27306208
8.0,21963594
9.0,19661212
10.0,16859847
11.0,15023718
12.0,13367702
13.0,11822399
14.0,10652752
15.0,9769805
16.0,8495885
17.0,7984633
18.0,7384229
19.0,6604396
20.0,6421561
21.0,5973021
22.0,5154928
23.0,4955578
24.0,4608242
25.0,4452701
26.0,3858397
27.0,3745969
28.0,3347098
29.0,3404071
30.0,3022972
31.0,2842656
32.0,2605999
33.0,2636511
34.0,2359566
35.0,2134791
36.0,2129672
37.0,1890022
38.0,1893152
39.0,1727622
40.0,1780129
41.0,1562447
42.0,1729510
43.0,1720485
44.0,1524500
45.0,1403809
46.0,1413475
47.0,1337116
48.0,1261532
49.0,1125605
50.0,1059567
51.0,1075498
52.0,1041886
53.0,972325
54.0,998687
55.0,974578
56.0,915403
57.0,858079
58.0,889031
59.0,781487
60.0,692622
61.0,753821
62.0,804316
63.0,754431
64.0,632616
65.0,652722
66.0,619078
67.0,617279
68.0,572906
69.0,606535
70.0,522946
71.0,553361
72.0,426041
73.0,415057
74.0,423869
75.0,491840
76.0,494435
77.0,511553
78.0,423048
79.0,410378
80.0,359826
81.0,404984
82.0,410251
83.0,327259
84.0,370828
85.0,372174
86.0,311556
87.0,327116
88.0,324817
89.0,296878
90.0,346851
91.0,446835
92.0,339529
93.0,297218
94.0,394882
95.0,264407
96.0,228091
97.0,280772
98.0,273447
99.0,266026
100.0,274481
101.0,226735
102.0,277514
103.0,185076
104.0,190661
105.0,178235
106.0,187947
107.0,200843
108.0,207138
109.0,221308
110.0,179312
111.0,148185
112.0,159703
113.0,162858
114.0,164358
115.0,152075
116.0,199771
117.0,157236
118.0,156237
119.0,151529
120.0,149050
121.0,139158
122.0,145514
123.0,134014
124.0,157171
125.0,121996
126.0,119779
127.0,135326
128.0,127802
129.0,127104
130.0,144339
131.0,125666
132.0,178058
133.0,117399
134.0,146983
135.0,103378
136.0,110865
137.0,83936
138.0,89238
139.0,90103
140.0,79488
141.0,141566
142.0,97552
143.0,109925
144.0,104207
145.0,89802
146.0,92000
147.0,102464
148.0,104054
149.0,72916
150.0,94184
151.0,58976
152.0,57488
153.0,89525
154.0,57650
155.0,84621
156.0,110841
157.0,68054
158.0,60388
159.0,78660
160.0,57281
161.0,53960
162.0,74923
163.0,55828
164.0,56531
165.0,47508
166.0,56793
167.0,70680
168.0,61269
169.0,78398
170.0,51690
171.0,43821
172.0,62511
173.0,59619
174.0,52783
175.0,64321
176.0,55449
177.0,50163
178.0,56687
179.0,58261
180.0,59620
181.0,54012
182.0,44825
183.0,65078
184.0,61878
185.0,56554
186.0,44773
187.0,54766
188.0,45284
189.0,53592
190.0,60187
191.0,54460
192.0,45286
193.0,52003
194.0,62577
195.0,47967
196.0,60752
197.0,54906
198.0,37518
199.0,34263
200.0,43226
201.0,32792
202.0,57371
203.0,37712
204.0,40895
205.0,40772
206.0,39013
207.0,35949
208.0,29037
209.0,42965
210.0,40448
211.0,60312
212.0,39805
213.0,27442
214.0,39296
215.0,40369
216.0,30906
217.0,45174
218.0,32521
219.0,38269
220.0,28427
221.0,44491
222.0,35646
223.0,56883
224.0,47934
225.0,42015
226.0,39833
227.0,37943
228.0,31931
229.0,39759
230.0,78542
231.0,45062
232.0,61885
233.0,36112
234.0,32158
235.0,31546
236.0,44829
237.0,33465
238.0,46165
239.0,31749
240.0,42094
241.0,28372
242.0,83875
243.0,32216
244.0,19649
245.0,19693
246.0,17138
247.0,44508
248.0,19753
249.0,20767
250.0,23005
251.0,30883
252.0,21631
253.0,21273
254.0,36144
255.0,27213
256.0,30642
257.0,20538
258.0,21508
259.0,34396
260.0,39079
261.0,34241
262.0,56072
263.0,25890
264.0,23436
265.0,25216
266.0,21043
267.0,33446
268.0,35501
269.0,16162
270.0,18050
271.0,18487
272.0,17317
273.0,14857
274.0,20635
275.0,16627
276.0,35343
277.0,24554
278.0,28753
279.0,16967
280.0,19215
281.0,18088
282.0,13213
283.0,14149
284.0,18564
285.0,13756
286.0,26194
287.0,42430
288.0,20340
289.0,12509
290.0,11306
291.0,16132
292.0,20303
293.0,29360
294.0,19805
295.0,14704
296.0,17822
297.0,14531
298.0,13038
299.0,18899
300.0,23029
301.0,28064
302.0,21162
303.0,16832
304.0,11974
305.0,14417
306.0,15498
307.0,20891
308.0,12375
309.0,20011
310.0,12719
311.0,7035
312.0,16426
313.0,17640
314.0,12813
315.0,11095
316.0,12123
317.0,9469
318.0,18448
319.0,21777
320.0,9451
321.0,17334
322.0,13810
323.0,11881
324.0,22837
325.0,16382
326.0,19841
327.0,21443
328.0,17131
329.0,17435
330.0,18467
331.0,11187
332.0,10520
333.0,15843
334.0,24904
335.0,15195
336.0,13855
337.0,10537
338.0,13548
339.0,17730
340.0,12040
341.0,22730
342.0,14119
343.0,10461
344.0,12875
345.0,14524
346.0,14230
347.0,11586
348.0,10843
349.0,12942
350.0,13702
351.0,16113
352.0,13963
353.0,10372
354.0,9962
355.0,13201
356.0,14646
357.0,13846
358.0,25561
359.0,14756
360.0,12330
361.0,18480
362.0,16318
363.0,9212
364.0,11341
365.0,14366
366.0,15835
367.0,8861
368.0,11424
369.0,20989
370.0,9778
371.0,11124
372.0,12989
373.0,16028
374.0,11198
375.0,24980
376.0,14080
377.0,8358
378.0,11505
379.0,6289
380.0,6926
381.0,18329
382.0,13186
383.0,6376
384.0,9929
385.0,6501
386.0,7734
387.0,8054
388.0,7572
389.0,6034
390.0,6704
391.0,8025
392.0,12053
393.0,6324
394.0,8550
395.0,7939
396.0,10999
397.0,8804
398.0,14382
399.0,13192
400.0,11567
401.0,8123
402.0,21655
403.0,8616
404.0,8156
405.0,6838
406.0,5852
407.0,8364
408.0,7109
409.0,8077
410.0,7009
411.0,5702
412.0,9690
413.0,5466
414.0,6148
415.0,2557
416.0,8152
417.0,4151
418.0,16764
419.0,11697
420.0,8138
421.0,7272
422.0,6966
423.0,5074
424.0,6091
425.0,8944
426.0,16849
427.0,8846
428.0,7298
429.0,7684
430.0,6138
431.0,3661
432.0,6531
433.0,8742
434.0,8088
435.0,6181
436.0,17157
437.0,10532
438.0,6897
439.0,6900
440.0,8796
441.0,6186
442.0,6244
443.0,9205
444.0,6494
445.0,8326
446.0,6615
447.0,7773
448.0,8602
449.0,10425
450.0,5885
451.0,5119
452.0,20304
453.0,5080
454.0,8572
455.0,5248
456.0,7489
457.0,5717
458.0,10521
459.0,7651
460.0,13950
461.0,12856
462.0,6775
463.0,7654
464.0,15492
465.0,11064
466.0,9862
467.0,10433
468.0,4661
469.0,5509
470.0,6611
471.0,10232
472.0,10678
473.0,7470
474.0,7231
475.0,6578
476.0,9437
477.0,5370
478.0,7350
479.0,8347
480.0,21877
481.0,8017
482.0,8434
483.0,8531
484.0,10935
485.0,4795
486.0,5103
487.0,4962
488.0,5827
489.0,7043
490.0,5027
491.0,10761
492.0,7079
493.0,20497
494.0,7469
495.0,7841
496.0,4992
497.0,7339
498.0,5849
499.0,8735
500.0,7718
501.0,7326
502.0,5362
503.0,6046
504.0,6992
505.0,5103
506.0,6691
507.0,6875
508.0,5447
509.0,7775
510.0,4083
511.0,5390
512.0,8390
513.0,5186
514.0,5842
515.0,4304
516.0,9232
517.0,10120
518.0,4338
519.0,5608
520.0,5404
521.0,5857
522.0,4351
523.0,5361
524.0,7505
525.0,5626
526.0,5076
527.0,9360
528.0,3045
529.0,4960
530.0,3043
531.0,7900
532.0,3847
533.0,5208
534.0,3849
535.0,5627
536.0,3293
537.0,4323
538.0,8634
539.0,4678
540.0,4707
541.0,5383
542.0,4632
543.0,2824
544.0,4996
545.0,3455
546.0,4935
547.0,2897
548.0,1369
549.0,3574
550.0,3210
551.0,3234
552.0,3603
553.0,5378
554.0,7905
555.0,2562
556.0,2579
557.0,3317
558.0,5479
559.0,5592
560.0,5379
561.0,3804
562.0,3833
563.0,11976
564.0,3815
565.0,4577
566.0,4188
567.0,2551
568.0,7337
569.0,5514
570.0,3806
571.0,3438
572.0,2461
573.0,2323
574.0,2683
575.0,6164
576.0,4414
577.0,3292
578.0,1679
579.0,8402
580.0,19076
581.0,6799
582.0,2861
583.0,5561
584.0,8110
585.0,5712
586.0,5609
587.0,4646
588.0,7287
589.0,6985
590.0,4524
591.0,2366
592.0,3038
593.0,2687
594.0,3266
595.0,1528
596.0,4722
597.0,4544
598.0,2606
599.0,5759
600.0,2127
601.0,2966
602.0,6223
603.0,5040
604.0,5493
605.0,3555
606.0,3685
607.0,3659
608.0,4656
609.0,4766
610.0,7358
611.0,4631
612.0,3226
613.0,3240
614.0,3709
615.0,5908
616.0,4305
617.0,3607
618.0,4116
619.0,4995
620.0,2547
621.0,3185
622.0,6614
623.0,4243
624.0,1643
625.0,3841
626.0,2459
627.0,2478
628.0,2652
629.0,2071
630.0,3138
631.0,1711
632.0,3142
633.0,1506
634.0,2744
635.0,3739
636.0,5448
637.0,4013
638.0,3731
639.0,1585
640.0,2830
641.0,2271
642.0,2811
643.0,3144
644.0,2548
645.0,5805
646.0,3417
647.0,1421
648.0,1294
649.0,1704
650.0,2682
651.0,1719
652.0,1794
653.0,1690
654.0,2053
655.0,3940
656.0,3353
657.0,2615
658.0,2950
659.0,1876
660.0,2792
661.0,4193
662.0,2433
663.0,2099
664.0,2134
665.0,3425
666.0,11916
667.0,1892
668.0,4053
669.0,2879
670.0,3401
671.0,1596
672.0,2246
673.0,3973
674.0,2493
675.0,4171
676.0,4350
