extension,files,repositories,avg_size,std_size
.下载,3534,51,51835.427277872135,256549.44565033703
.без названия,822,11,111433.42457420933,228161.41233490536
.~pas,1086,71,17232.584714548808,44717.470805989477
.~dfm,914,80,93489.098468271273,466717.65432973322
.~ddp,649,57,70.408320493066256,260.35753786525009
.~3~,537,87,11617.906890130347,52356.117411879772
.~2~,774,97,10623.270025839785,46270.243209213877
.~1~,1737,180,18615.248128957894,248980.41399836508
.zz,1873,195,1515.2541377469311,1399.8853278415347
.zwr,22613,22,1263307.7233892027,8414235.39946342
.zul,5987,142,2771.9427092032747,3735.8195703088591
.zu,835,35,11459.291017964071,42508.882935452464
.ztl,1763,17,41862.776517300044,818706.79114128323
.zshrc,3522,3286,3830.922487223173,11505.597329767423
.zshenv,514,496,664.28988326848184,1987.6194386156894
.zsh-theme,125244,2008,1110.5737360671974,1297.0337431818075
.zsh-template,912,900,2615.8081140350864,704.32998221138052
.zsh,219755,8081,1838.3864303428807,4159.8326391074152
.zs,2104,106,4578.9833650190167,10211.357842954587
.zpts,681,16,1007.4698972099856,2259.036203142216
.zpm,997,50,4181.4784353059185,5199.7060382605914
.zone,9741,869,23766.835129863426,656890.18832793192
.zon,536,16,56281.128731343248,644883.94167142559
.zo,769,49,13250.37451235371,59412.649478695261
.zmat,1037,66,539.30472516875625,546.90829497706193
.zlib,1270,435,124225.12362204742,1903944.6455468202
.zip,706830,114079,1245178.8320093479,6147640.3092975728
.zig,2263,22,35737.172779496286,450758.962395759
.zh_cn,644,112,1594.2468944099376,4137.2138711292973
.zeus,530,292,1549.596226415094,3056.7128153499284
.zep,7161,254,2949.12232928362,6049.8793776105013
.zcml,3144,632,1780.79262086514,4468.2400724963927
.zargo,1045,503,19370.971291866033,40113.630911802211
.z80,6057,125,6967.3693247482224,14410.503475139387
.z77,557,149,55091.533213644529,49307.402402416265
.z,161184,4959,133189.094035388,767081.49431458476
.yz,650,411,16.801538461538463,116.03376984711403
.yy,11179,2097,24278.637892476963,135197.01196402777
.yuv,1822,415,2966983.6180021991,10155671.66975884
.ys,2668,61,8858.8905547226314,71353.949750051674
.yrl,2621,572,25696.056466997354,24900.287352764539
.yrd,2385,17,4839.20293501048,62247.228037443914
.yoda,1779,20,127923.88645306358,416128.36255658866
.yo,1550,189,20616.46258064517,47086.438005776916
.yml~,2859,1750,1453.9909059111562,8704.3593752944817
.yml,10706997,889321,51990.415729078784,454977.38361498481
.ymfsb,13792,13737,3141.6645156612531,41.311366628167477
.yin,1060,35,6638.7773584905626,40195.961894365384
.yii,1515,86,6.7953795379537967,101.29400088534928
.yhtm,1257,18,3608.0962609387434,3730.9002345270483
.ycp,1121,82,1156.9678858162342,2406.1848638389688
.yaws,3060,96,1733.0830065359473,2980.9688976549178
.yate,1346,28,8803.32615156017,32126.34277034401
.yasnippet,19606,175,170.17254921962615,252.54143965591723
.yas-parents,4742,329,10.020033741037542,3.2012935318841933
.yarnrc,763,667,62.053735255570096,86.419677306695249
.yarnclean,697,656,282.1736011477762,167.48944036993095
.yardopts,14320,10686,116.24057262569823,123.28121565939409
.yara,992,145,24780.765120967761,181974.67140820279
.yar,6683,164,17318.907825826758,195016.46308371873
.yapsy-plugin,1237,174,322.14470493128493,304.84045259028665
.yapf,602,556,1041.2990033222593,2489.2726226716027
.yang,34492,278,94666.64168502824,942571.50295132527
.yamllint,769,680,450.967490247074,459.73615931458238
.yaml-tmlanguage,633,413,9290.6919431279712,32076.195322521628
.yaml,2735760,103404,13539.775192633875,388694.816774253
.yail,1379,109,2622.3023930384329,3564.684869636143
.y,131361,31238,16391.577873189151,46951.835084881975
.xz,19980,2682,1078557.1116616605,6373866.8304546662
.xyz,69564,1290,70874.012492093709,1015466.4979811918
.xy-error,1199,11,2015.6513761467891,1917.9918812802935
.xy,2449,185,83821.440587995137,907376.16247490165
.xxx,636,332,129721.42295597495,2579928.2374890912
.xwd,613,96,55903.210440456787,337277.87951785151
.xw,2419,467,8783.5642827614647,1131.9690484714158
.xvg,4199,96,520199.31340795429,1424782.6738361022
.xv,1266,22,218451.38704581349,323338.50008109579
.xunit,1266,289,212.19984202211691,268.17242468169394
.xul,28452,2860,3476.3098903416353,6850.4576609022879
.xu,4203,558,5514.2143706876077,1342.8701739578794
.xtuml,26865,33,70214.575991066158,310922.83508025727
.xtpl,900,51,5610.5655555555531,9829.1999798432753
.xtmpl,1024,797,532.1572265625,2319.3099834439045
.xtm,536,25,73867.7238805971,583945.45844971424
.xtext,1843,629,3500.2333152468814,5166.3935772285777
.xtendbin,939,54,2940.8264110756113,5768.1408996185091
.xtend,25790,992,3301.4049243893032,8355.632408074478
.xtc,1015,128,2457780.3123152689,11165645.025159152
.xtb,232285,452,42876.922943797523,127089.94305268028
.xt,2601,61,8577.6547481737834,225196.39370363092
.xsx,1553,515,867.067611075338,2735.0622335383619
.xsw,2382,464,8271.04072208228,715.96430365158517
.xst,1164,247,6073.0945017182084,32572.891803248644
.xss,11198,1085,560.3505983211279,2096.7406890581415
.xspf,9625,171,2903.39688311688,34250.962869689123
.xspec,1052,61,6025.9125475285282,16207.958035491734
.xsp-config,2365,156,4264.4033826638442,10494.132317649082
.xsp,5857,275,3278.2829093392484,11382.87001339473
.xslt,56671,8477,6656.9827072047619,55092.618226681247
.xsl,479948,49166,9474.9524344304136,37639.19793415779
.xshd,1722,278,6489.7328687572535,12272.49669202853
.xsd,530869,40550,18285.582686124129,89248.273593303675
.xsc,4915,1433,4220.80488301119,4204.8726549975536
.xsb,35312,62,1306.5522202084258,23157.33312288261
.xs,26588,16095,7679.2316082443313,35799.7084089597
.xrpt,1769,137,45345.243640474851,104954.57796612546
.xrf,1092,117,52778.521978021978,337419.23922938376
.xresources,1987,990,1774.9989934574764,3438.7902391921402
.xreport,782,186,20651.753196930928,1439.1113140926823
.xrds,3666,502,1578.37452264048,1048.2872648142477
.xrdb,1036,30,744.86776061776084,603.73849226044251
.xrc,4588,490,12724.879686137756,34503.701305830327
.xr,4837,620,4875.8658259251661,4868.0135791901521
.xqy,2188,196,5290.5936928701994,27957.635322676218
.xquery,1501,263,2498.3644237175258,7563.8760028466941
.xqm,1489,273,7123.5238415043577,22513.997548051855
.xql,6977,153,2985.2002293249334,5527.2405761511172
.xq,28708,950,870.3680507175701,15049.658964981405
.xpt,6576,527,245123.31173965905,2347428.01356353
.xps,523,223,831357.19311663473,2010448.0604304029
.xproj,14130,3242,1220.7745222929962,877.33877527830782
.xpr,1194,413,40767.747906197619,504519.11949983134
.xpm,270123,14429,8300.9660302899,85268.350733385232
.xpl,3777,369,6542.7926926131622,46959.429680107984
.xpk,558,63,2222.6827956989264,5072.9288589529715
.xpi,10659,2981,355544.44169246644,1444774.036985134
.xpf,9056,63,6245.8213339222584,26583.104933281626
.xpath2,8927,87,69.89951831522329,89.082042101384332
.xpath,6500,190,255.09969230769227,208.59676153851302
.xoo,1342,18,242.15722801788368,291.41274319086585
.xojo_window,532,130,21279.319548872183,24179.489871533726
.xojo_code,2648,146,7509.9573262839913,14220.635990661993
.xo,3053,52,13691.029806747472,219369.32248413152
.xnh,1176,35,21856.395408163269,84119.599906845571
.xnb,24816,475,427316.96449871006,1734990.8237601579
.xn,4379,682,21794.408084037452,936521.89577729569
.xmsgs,3266,198,16106.06338028169,125875.92429637615
.xmp,5428,494,5267.68533529846,94252.905110533873
.xml~,3795,1657,23835.756258234527,271478.6250799541
.xmltm,608,76,816.0,426.18010594326455
.xmlsrc,2545,93,18425.875049115904,19387.724120251904
.xml_hidden,1307,36,0.0,0.0
.xml_gen,2419,440,8452.9776767259118,8694.9267123896643
.xml-removed,650,50,1148.7692307692307,858.72591273155024
.xml-after,2064,86,170.36240310077523,44.578017806822345
.xml,26146702,746324,22191.859864116395,367795.96711395343
.xmind,2152,912,770044.967472119,2862684.2659551972
.xmi,22776,3910,232901.00821039706,1378592.8135738494
.xmap,1035,220,36660.544927536219,243575.65447775289
.xm,2917,1106,294906.9835447371,720184.44245170441
.xlsx,129008,20753,227983.11951104179,1949874.3355580976
.xlsm,3473,1102,472958.36855744279,2103424.6711437413
.xls,90597,12576,405942.64169895335,1919535.9271748043
.xliff,34135,2101,13030.634480738207,88821.57967892228
.xlf,601490,11311,15012.729897421365,264011.59745074925
.xlb,552,68,690.54166666666674,3347.3649134743978
